Ball,Runs,Bowler,Batsman,Speed,Pitch Length,Pitch Line
1.6,1,J Archer,Q de Kock,140.1 km/h,short length,on middle stump.
1.5,0,J Archer,Q de Kock,148.2 km/h,good length,on middle stump.
1.4,0,J Archer,Q de Kock,143.0 km/h,good length,on leg stump.
1.3,1,J Archer,H Amla,145.4 km/h,good length,on off stump.
1.2,0,J Archer,H Amla,145.8 km/h,short length,outside off stump.
1.1,0,J Archer,H Amla,143.9 km/h,full length,just outside off stump.
0.6,0,C Woakes,Q de Kock,137.2 km/h,good length,just outside off stump.
0.5,0,C Woakes,Q de Kock,138.6 km/h,full length,outside off stump.
0.4,2,C Woakes,Q de Kock,137.0 km/h,good length,on leg stump.
0.3,0,C Woakes,Q de Kock,136.6 km/h,good length,just outside off stump.
0.2,0,C Woakes,Q de Kock,134.9 km/h,short length,just outside off stump.
0.1,0,C Woakes,Q de Kock,133.2 km/h,short length,on off stump.
49.6,1,K Rabada,L Plunkett,140.5 km/h,full toss,just outside off stump.
49.5,2,K Rabada,L Plunkett,139.3 km/h,full toss,on leg stump.
49.4,1,K Rabada,J Archer,121.6 km/h,short length,on middle stump.
49.3,2,K Rabada,J Archer,139.0 km/h,full length,on middle stump.
49.2,4,K Rabada,J Archer,113.9 km/h,good length,outside off stump.
49.1,1,K Rabada,L Plunkett,116.9 km/h,short length,going down leg.
48.6,W,L Ngidi,B Stokes,113.2 km/h,short length,just outside off stump.
48.5,0,L Ngidi,B Stokes,115.4 km/h,full length,going down leg.
48.4,1,L Ngidi,L Plunkett,133.9 km/h,full length,just outside off stump.
48.3,0,L Ngidi,L Plunkett,113.5 km/h,full length,outside off stump.
48.2,1,L Ngidi,B Stokes,116.2 km/h,short length,on middle stump.
48.1,4,L Ngidi,B Stokes,115.2 km/h,short length,going down leg.
47.6,4,K Rabada,L Plunkett,137.9 km/h,short length,going down leg.
47.5,1,K Rabada,B Stokes,122.9 km/h,short length,outside off stump.
47.4,4,K Rabada,B Stokes,118.4 km/h,short length,outside off stump.
47.3,W,K Rabada,C Woakes,115.9 km/h,short length,going down leg.
47.2,0,K Rabada,C Woakes,138.5 km/h,short length,going down leg.
47.1,1Lb,K Rabada,B Stokes,,,
46.6,0,A Phehlukwayo,C Woakes,123.2 km/h,full length,going down leg.
46.5,1,A Phehlukwayo,B Stokes,107.5 km/h,short length,going down leg.
46.4,1,A Phehlukwayo,C Woakes,122.8 km/h,full toss,just outside off stump.
46.3,2,A Phehlukwayo,C Woakes,107.2 km/h,short length,outside off stump.
46.3,1Wd,A Phehlukwayo,C Woakes,,,
46.2,1,A Phehlukwayo,B Stokes,111.5 km/h,short length,going down leg.
46.2,1Wd,A Phehlukwayo,B Stokes,,,
46.1,1,A Phehlukwayo,C Woakes,123.6 km/h,full toss,outside off stump.
46.1,1Wd,A Phehlukwayo,C Woakes,,,
45.6,1,K Rabada,C Woakes,138.2 km/h,short length,just outside off stump.
45.5,1,K Rabada,B Stokes,139.9 km/h,full length,on middle stump.
45.5,1Wd,K Rabada,B Stokes,,,
45.4,1,K Rabada,C Woakes,113.1 km/h,good length,just outside off stump.
45.3,4,K Rabada,C Woakes,136.8 km/h,short length,outside off stump.
45.2,1,K Rabada,B Stokes,106.4 km/h,full toss,outside off stump.
45.1,1,K Rabada,C Woakes,138.0 km/h,good length,just outside off stump.
44.6,2,A Phehlukwayo,B Stokes,126.4 km/h,full length,just outside off stump.
44.5,1,A Phehlukwayo,C Woakes,125.5 km/h,short length,on middle stump.
44.4,1,A Phehlukwayo,B Stokes,105.7 km/h,full length,going down leg.
44.3,1,A Phehlukwayo,C Woakes,126.3 km/h,short length,just outside off stump.
44.2,0,A Phehlukwayo,C Woakes,123.2 km/h,short length,outside off stump.
