,inningNumber,oversActual,pitchLine,pitchLength,isFour,isSix,isWicket,byes,legbyes,wides,noballs,run,totalRuns,totalWickets,shotType,time_of_day,Ground Name,Batsman_Name,Batsman_Role,Batsman_Batting_Style,Batsman_Playing_Role,Bowler_Name,Bowler_Role,Bowler_Bowling_Style,Bowler_Playing_Role
15657,1,8.6,1,2,False,False,False,0,0,0,0,0,45,3,3,2,14,114,2,1,0,202,0,6,0
15658,2,0.1,2,4,False,False,False,0,0,0,0,0,0,0,18,2,14,272,2,1,7,248,1,13,3
15659,2,0.2,2,4,False,False,False,0,0,0,0,0,0,0,1,2,14,272,2,1,7,248,1,13,3
15660,2,0.3,2,4,False,False,False,0,0,0,0,0,0,0,12,2,14,272,2,1,7,248,1,13,3
15661,2,0.4,2,4,False,False,False,0,0,0,0,0,0,0,1,2,14,272,2,1,7,248,1,13,3
15662,2,0.5,2,2,False,False,True,0,0,0,0,0,0,0,16,2,14,272,2,1,7,248,1,13,3
15663,2,0.6,2,4,False,False,False,0,0,0,0,0,0,1,3,2,14,96,2,1,0,248,1,13,3
15664,2,9.1,2,2,False,False,False,0,0,0,0,1,52,5,4,2,14,274,5,0,7,143,1,8,3
15665,2,9.2,2,4,False,False,False,0,0,0,0,0,53,5,4,2,14,210,2,1,0,143,1,8,3
15666,2,9.3,2,0,False,False,False,0,0,0,0,1,53,5,18,2,14,210,2,1,0,143,1,8,3
15667,2,9.4,2,0,True,False,False,0,0,0,0,4,54,5,0,2,14,274,5,0,7,143,1,8,3
15668,2,9.5,2,2,False,False,False,0,0,0,0,0,58,5,0,2,14,274,5,0,7,143,1,8,3
15669,2,9.6,2,2,False,False,True,0,0,0,0,0,58,5,8,2,14,274,5,0,7,143,1,8,3
15670,2,10.1,2,2,False,False,False,0,0,0,0,1,58,6,8,2,14,210,2,1,0,157,1,18,4
15671,2,10.2,1,2,False,False,False,0,0,0,0,0,59,6,3,2,14,283,0,1,0,157,1,18,4
15672,2,10.3,1,4,False,False,False,0,0,0,0,0,59,6,12,2,14,283,0,1,0,157,1,18,4
15673,2,10.4,2,2,True,False,False,0,0,0,0,4,59,6,17,2,14,283,0,1,0,157,1,18,4
15674,2,10.5,2,4,False,False,False,0,0,0,0,0,63,6,1,2,14,283,0,1,0,157,1,18,4
15675,2,10.6,1,2,False,False,False,0,0,0,0,0,63,6,12,2,14,283,0,1,0,157,1,18,4
15676,2,11.1,1,2,False,False,False,0,0,0,0,0,63,6,21,2,14,210,2,1,0,102,1,6,3
15677,2,11.2,1,2,False,False,False,0,0,0,0,0,63,6,3,2,14,210,2,1,0,102,1,6,3
15678,2,11.3,2,2,False,False,False,0,0,0,0,1,63,6,16,2,14,210,2,1,0,102,1,6,3
15679,2,11.4,2,2,False,False,True,0,0,0,0,0,64,6,0,2,14,283,0,1,0,102,1,6,3
15680,2,11.5,1,2,False,False,False,0,0,0,0,0,64,7,3,2,14,202,2,1,3,102,1,6,3
15681,2,11.6,2,2,False,False,False,0,0,0,0,0,64,7,1,2,14,202,2,1,3,102,1,6,3
15682,2,12.1,2,4,False,False,False,0,0,0,0,0,64,7,1,2,14,210,2,1,0,157,1,18,4
15683,2,12.2,2,2,False,False,False,0,0,0,0,1,64,7,16,2,14,210,2,1,0,157,1,18,4
15684,2,12.3,2,2,False,False,True,0,0,0,0,0,65,7,18,2,14,202,2,1,3,157,1,18,4
15685,2,12.4,1,0,False,False,False,0,0,0,0,0,65,8,12,2,14,64,2,1,3,157,1,18,4
15686,2,12.5,2,2,False,False,False,0,0,0,0,0,65,8,12,2,14,64,2,1,3,157,1,18,4
15687,2,12.6,2,2,False,False,False,0,0,0,0,0,65,8,6,2,14,64,2,1,3,157,1,18,4
15688,2,13.1,2,4,True,False,False,0,0,0,0,4,65,8,19,2,14,210,2,1,0,143,1,8,3
15689,2,13.2,1,2,False,False,False,0,0,0,0,1,69,8,4,2,14,210,2,1,0,143,1,8,3
15690,2,13.3,1,4,False,False,False,0,0,0,0,2,70,8,4,2,14,64,2,1,3,143,1,8,3
15691,2,13.4,1,3,False,False,False,0,0,1,0,1,72,8,6,2,14,64,2,1,3,143,1,8,3
15692,2,13.4,2,2,False,False,False,0,0,0,0,0,73,8,12,2,14,64,2,1,3,143,1,8,3
15693,2,13.5,1,2,False,False,False,0,0,0,0,0,73,8,0,2,14,64,2,1,3,143,1,8,3
15694,2,13.6,2,3,False,False,False,0,0,0,0,0,73,8,3,2,14,64,2,1,3,143,1,8,3
15695,2,14.1,2,2,False,False,False,0,0,0,0,1,73,8,0,2,14,210,2,1,0,248,1,13,3
15696,2,14.2,2,4,False,False,False,0,0,0,0,0,74,8,12,2,14,64,2,1,3,248,1,13,3
15697,2,14.3,2,2,False,False,False,0,0,0,0,1,74,8,18,2,14,64,2,1,3,248,1,13,3
15698,2,14.4,2,2,False,True,False,0,0,0,0,6,75,8,16,2,14,210,2,1,0,248,1,13,3
15699,2,14.5,2,2,False,False,False,0,0,0,0,0,81,8,12,2,14,210,2,1,0,248,1,13,3
15700,2,14.6,2,2,False,False,False,0,0,0,0,1,81,8,4,2,14,210,2,1,0,248,1,13,3
15701,2,15.1,0,0,False,False,False,0,0,0,0,0,82,8,8,2,14,210,2,1,0,143,1,8,3
15702,2,15.2,0,0,False,False,False,0,0,0,0,2,82,8,4,2,14,210,2,1,0,143,1,8,3
